sexo,edad,pobreza,y1,ytotcorh,ytot,y2_hrs,tot_per,n_ocupados,n_desocupados,v19,pobreza_sinte,asiste2,esc,educ,activ,activ2,ocup_inf,sist_salud,expr
Mujer,54,No pobres,320000,1321481,320000,180,4,2,0,4e+05,No pobres sin transferencia Covid,No asiste,14,Técnico nivel superior incompleta,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,28
Hombre,18,No pobres,,1321481,,,4,2,0,4e+05,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,Ninguno (particular),28
Hombre,56,No pobres,,302083,18750,,2,1,0,1e+05,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,Ninguno (particular),30
Hombre,50,No pobres,,302083,283333,,2,1,0,1e+05,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,Ninguno (particular),30
Hombre,40,Pobres no extremos,140000,150417,150417,70,1,1,0,80000,Pobres no extremos sin transferencia Covid,No asiste,8,Básica completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,32
Mujer,38,No pobres,,639917,225000,,2,1,0,130000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,FONASA,28
Hombre,65,No pobres,,639917,414917,,2,1,0,130000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,28
Mujer,30,No pobres,,639167,12500,,4,1,0,2e+05,No pobres sin transferencia Covid,No asiste,14,Técnico nivel superior completo,Inactivos,Inactivos,,FONASA,28
Hombre,5,Pobres extremos,,232500,,,3,1,1,70000,Pobres extremos sin transferencia Covid,Asiste,,Sin educación formal,,,,FONASA,28
Hombre,39,Pobres extremos,,232500,232500,,3,1,1,70000,Pobres extremos sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,28
Mujer,31,Pobres extremos,,232500,,,3,1,1,70000,Pobres extremos sin transferencia Covid,No asiste,12,Media humanista completa,Desocupados,Desocupados,,Ninguno (particular),28
Mujer,25,No pobres,,2566667,50000,,3,2,1,5e+05,No pobres sin transferencia Covid,Asiste,16,Profesional incompleto,Desocupados,Desocupados,,FONASA,34
Mujer,3,Pobres extremos,,70000,,,3,1,0,150000,Pobres extremos sin transferencia Covid,No asiste,,Sin educación formal,,,,FONASA,34
Mujer,35,Pobres extremos,60000,70000,70000,36,3,1,0,150000,Pobres extremos sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,34
Mujer,9,Pobres extremos,,70000,,,3,1,0,150000,Pobres extremos sin transferencia Covid,Asiste,,Básica incompleta,,,,FONASA,34
Hombre,33,No pobres,,284690,,,1,1,0,70000,No pobres sin transferencia Covid,No asiste,16,Técnico nivel superior completo,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,34
Hombre,33,Pobres no extremos,320000,339794,320000,180,4,1,0,2e+05,Pobres no extremos sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,34
Mujer,14,Pobres no extremos,,339794,,,4,1,0,2e+05,Pobres no extremos sin transferencia Covid,Asiste,,Media humanista incompleta,,,,FONASA,34
Mujer,34,Pobres no extremos,,339794,19794,,4,1,0,2e+05,Pobres no extremos sin transferencia Covid,No asiste,11,Media humanista incompleta,Inactivos,Inactivos,,FONASA,34
Mujer,30,No pobres,250000,675726,675726,180,5,1,0,180000,No pobres sin transferencia Covid,No asiste,11,Media humanista incompleta,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,78
Hombre,13,No pobres,,675726,,,5,1,0,180000,No pobres sin transferencia Covid,Asiste,,Básica incompleta,,,,FONASA,78
Mujer,53,No pobres,280000,775769,283980,180,6,3,0,380000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,79
Hombre,12,No pobres,,775769,5196,,6,3,0,380000,No pobres sin transferencia Covid,Asiste,,Básica incompleta,,,,FONASA,79
Mujer,5,No pobres,,775769,,,6,3,0,380000,No pobres sin transferencia Covid,Asiste,,Sin educación formal,,,,FONASA,79
Hombre,18,No pobres,,775769,,,6,3,0,380000,No pobres sin transferencia Covid,Asiste,11,Media técnica profesional incompleta,Inactivos,Inactivos,,FONASA,79
Mujer,35,No pobres,96000,775769,96000,48,6,3,0,380000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,79
Hombre,39,No pobres,3e+05,775769,390593,180,6,3,0,380000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,79
Mujer,47,No pobres,,1151000,450000,,5,2,0,,No pobres sin transferencia Covid,No asiste,14,Técnico nivel superior incompleta,Inactivos,Inactivos,,FONASA,57
Mujer,27,No pobres,301000,1151000,501000,180,5,2,0,,No pobres sin transferencia Covid,No asiste,15,Profesional incompleto,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,57
Mujer,64,No pobres,,1151000,,,5,2,0,,No pobres sin transferencia Covid,No asiste,7,Media humanista incompleta,Inactivos,Inactivos,,FONASA,57
Hombre,52,No pobres,,1151000,,,5,2,0,,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior incompleta,Ocupados,"Ocupado, no suspendido por LPE",No clasificado,FONASA,57
Hombre,48,No pobres,350000,675833,350000,,4,2,0,350000,No pobres sin transferencia Covid,No asiste,9,Media humanista incompleta,Ocupados,"Ocupado, no suspendido por LPE",No clasificado,FONASA,57
Hombre,49,Pobres extremos,,0,,,1,0,1,,Pobres extremos sin transferencia Covid,No asiste,12,Media humanista completa,Desocupados,Desocupados,,Ninguno (particular),72
Hombre,52,No pobres,,291862,286666,,2,1,0,1e+05,No pobres sin transferencia Covid,No asiste,8,Básica completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,72
Hombre,20,No pobres,,291862,5196,,2,1,0,1e+05,No pobres sin transferencia Covid,Asiste,15,Profesional incompleto,Inactivos,Inactivos,,Ninguno (particular),72
Hombre,49,No pobres,6e+05,6e+05,6e+05,180,1,1,0,1e+05,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Ocupados,"Ocupado, no suspendido por LPE",Sí,Ninguno (particular),29
Mujer,38,No pobres,3e+05,966048,639738,192,3,1,0,3e+05,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,26
Mujer,52,No pobres,320000,500417,320000,190,2,1,1,85000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,26
Hombre,57,No pobres,,500417,180417,,2,1,1,85000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Desocupados,Desocupados,,FONASA,26
Hombre,42,No pobres,,1104167,754167,,3,1,0,350000,No pobres sin transferencia Covid,No asiste,10,Media humanista incompleta,Ocupados,"Ocupado, no suspendido por LPE",Sí,FF.AA. y del Orden y Otro Sistema,26
Mujer,32,No pobres,,1104167,,,3,1,0,350000,No pobres sin transferencia Covid,Asiste,12,Media humanista completa,Inactivos,Inactivos,,FONASA,26
Mujer,29,Pobres extremos,,287182,287182,,4,1,0,,Pobres extremos sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,57
Hombre,31,Pobres extremos,,287182,,,4,1,0,,Pobres extremos sin transferencia Covid,No asiste,8,Básica completa,Inactivos,Inactivos,,FONASA,57
Mujer,38,Pobres extremos,,0,,,6,4,0,4e+05,Pobres extremos sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,57
Mujer,20,Pobres extremos,,0,,,6,4,0,4e+05,Pobres extremos sin transferencia Covid,Asiste,13,Técnico nivel superior incompleta,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,57
Hombre,22,Pobres extremos,,0,,,6,4,0,4e+05,Pobres extremos sin transferencia Covid,Asiste,16,Técnico nivel superior incompleta,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,57
Hombre,42,Pobres extremos,,0,,,6,4,0,4e+05,Pobres extremos sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,57
Mujer,31,Pobres no extremos,,318250,,,4,2,0,,Pobres no extremos sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,FONASA,57
Hombre,65,Pobres no extremos,,318250,,,4,2,0,,Pobres no extremos sin transferencia Covid,No asiste,4,Básica incompleta,Ocupados,"Ocupado, no suspendido por LPE",Sí,No sabe,57
Mujer,64,Pobres no extremos,,318250,,,4,2,0,,Pobres no extremos sin transferencia Covid,No asiste,4,Básica incompleta,Inactivos,Inactivos,,No sabe,57
Mujer,28,No pobres,360000,2123333,360000,180,7,3,0,360000,No pobres sin transferencia Covid,No asiste,17,Profesional completo,Ocupados,"Ocupado, suspendido por LPE",No,FONASA,44
Mujer,70,No pobres,,2123333,,,7,3,0,360000,No pobres sin transferencia Covid,No asiste,8,Básica completa,Inactivos,Inactivos,,FONASA,44
Hombre,75,No pobres,,2123333,35833,,7,3,0,360000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,FONASA,44
Mujer,51,No pobres,5e+05,2123333,967500,180,7,3,0,360000,No pobres sin transferencia Covid,No asiste,13,Profesional incompleto,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,44
Hombre,25,No pobres,,625000,6e+05,208,4,1,2,340000,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Ocupados,"Ocupado, suspendido por LPE",No,FONASA,44
